Indicator Name,Indicator Code,Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"International tourism, number of arrivals",ST.INT.ARVL,Cyprus,CYP,2349000,2470000,2401000,2416000,2404000,2141000,2173000,2392000,,
"International tourism, number of arrivals",ST.INT.ARVL,Czech Republic,CZE,9047000,9404000,9539000,10162000,10119000,8848000,8629000,8775000,,
"International tourism, number of arrivals",ST.INT.ARVL,Denmark,DNK,4421000,9178000,9256000,9284000,9016000,8547000,8744000,7363000,,
"International tourism, number of arrivals",ST.INT.ARVL,Djibouti,DJI,26000,30000,40000,40000,53000,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Dominica,DMA,80000,79000,84000,81000,81000,75000,77000,76000,,
"International tourism, number of arrivals",ST.INT.ARVL,Dominican Republic,DOM,3450000,3691000,3965000,3980000,3980000,3992000,4125000,4306000,,
"International tourism, number of arrivals",ST.INT.ARVL,Ecuador,ECU,819000,860000,841000,937000,1005000,968000,1047000,1141000,,
"International tourism, number of arrivals",ST.INT.ARVL,"Egypt, Arab Rep.",EGY,7795000,8244000,8646000,10610000,12296000,11914000,14051000,9497000,,
"International tourism, number of arrivals",ST.INT.ARVL,El Salvador,SLV,951000,1127000,1279000,1339000,1385000,1091000,1150000,1184000,,
"International tourism, number of arrivals",ST.INT.ARVL,Equatorial Guinea,GNQ,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Eritrea,ERI,87000,83000,78000,81000,70000,79000,84000,107000,,
"International tourism, number of arrivals",ST.INT.ARVL,Estonia,EST,1750000,1917000,1940000,1900000,2079000,2059000,2372000,2665000,,
"International tourism, number of arrivals",ST.INT.ARVL,Ethiopia,ETH,184000,227000,330000,358000,383000,427000,468000,523000,,
"International tourism, number of arrivals",ST.INT.ARVL,Faeroe Islands,FRO,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Fiji,FJI,504000,545000,549000,540000,585000,542000,632000,675000,,
"International tourism, number of arrivals",ST.INT.ARVL,Finland,FIN,2840000,3140000,3375000,3519000,3583000,3423000,3670000,4192000,,
"International tourism, number of arrivals",ST.INT.ARVL,France,FRA,74433000,74988000,77916000,80853000,79218000,76764000,77648000,81411000,,
"International tourism, number of arrivals",ST.INT.ARVL,French Polynesia,PYF,212000,208000,222000,218000,196000,160000,154000,163000,,
"International tourism, number of arrivals",ST.INT.ARVL,Gabon,GAB,244000,269000,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,"Gambia, The",GMB,90000,108000,125000,143000,147000,142000,91000,106000,,
"International tourism, number of arrivals",ST.INT.ARVL,Georgia,GEO,368000,560000,983000,1052000,1290000,1500000,2032000,2822000,,
"International tourism, number of arrivals",ST.INT.ARVL,Germany,DEU,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,,
