Indicator Name,Indicator Code,Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,15775356736.7031,16587921220.9676,17953103008.559,20431779033.658,23735537026.2769,22188223917.2632,22488424689.3573,25320741717.1687,24983980484.1425,
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,992226099521.914,1133759985475.67,1278610846644.8,1424065729447.91,1502678437546.86,1337577639751.55,1577040082217.76,1777788888888.89,1821424139311.45,
GDP (current US$),NY.GDP.MKTP.CD,Cape Verde,CPV,924318506.162887,971976952.231872,1107890815.24702,1331208451.89524,1561727129.03456,1600829245.79599,1659053271.06012,1901136230.37562,1897350475.07595,
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1269621969.41151,1350047680.189,1473129795.04105,1697318340.21958,1983224846.63809,1981732672.72119,1984747842.48861,2165868600.17965,2138965636.11789,
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,4414929142.23367,5301956888.64628,6099007744.48676,7006536071.35172,8360777265.35724,7081950631.50581,8540674846.11072,10581391311.8366,11018023537.6952,
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,100630707851.859,124404150138.162,154671010324.831,173081288190.418,179626662207.089,171727053201.51,217311678771.319,250994104420.909,268187780225.804,
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1931644331142.47,2256902590825.33,2712950886698.27,3494055944791.32,4521827288303.98,4991256406734.99,5949785721835.46,7314432078359.94,8358363135690.43,
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,117074865515.279,146520136085.39,162773603929.706,207416490982.993,243982436734.237,233821670220.299,287018179193.92,336346368932.969,369789365899.006,
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,362420483.548684,387036131.685576,403179474.351306,464948879.259374,530131963.428658,535199685.948686,543376206.062274,610372697.420461,595900353.493894,
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",ZAR,6511032844.18882,7191141825.15134,8823784633.01218,10013852848.6836,11675330309.8997,11204008248.8673,13107979826.4574,15653634042.1416,17869718209.9337,
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,4648628839.49057,6087002681.74095,7731261168.83097,8394688589.03459,11859015180.8733,9593536719.0203,12007880067.3847,14425606793.3022,13677928883.6386,
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,18596365934.1531,19964893791.9849,22528746797.066,26321867136.3865,29837641380.3588,29431416909.4176,36346192495.6735,41072465934.9352,45152720219.6228,
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,15481092596.4757,16363437145.2025,17367303155.9802,19795705245.3489,23414253327.8501,23041633638.2307,22920779597.555,24073812829.8934,24680372724.4372,
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,41003558915.6986,44821408830.9352,49855078905.4812,59335976948.2105,69595272329.4363,62244202546.9806,58873839434.9834,61789184183.8732,56441607483.0696,
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,38202800000,42644200000,52742100000,58603500000,60806200000,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,15816972050.6976,16997801392.3755,18435765910.0111,21841815680.8803,25321517504.0281,23542650736.3156,23132450331.1258,24992076730.6088,22980960640,
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,113976672924.834,130052420701.169,148345088495.575,180511237062.592,225448799062.683,197218205666.317,198475392670.157,216011355932.203,195656544502.618,
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,244727978020.584,257675536234.494,274376889678.112,311417601998.641,343881383958.432,310544743670.337,313365836298.932,333616014897.579,314242037116.962,
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,666072101.777505,708633194.726566,768873684.032838,847918929.107984,,,,,,
